"","X","pmid","title","publicationyear","MR","surname","given_name","author_code","gender","affil_main","affil_cat","author_position","last_position","first_position","max","RCR","cit","jif"
"19",19,17990236,"Tuberculosis after initiation of antiretroviral therapy in low-income and high-income countries",2007,1,"reiss","peter",47202,"male","Netherlands","High",9,0,0,19,2.25,78,9.055
"20",20,17990236,"Tuberculosis after initiation of antiretroviral therapy in low-income and high-income countries",2007,1,"bangsberg","david r.",2921,"male","United States","High",10,0,0,19,2.25,78,9.055
"21",21,17990236,"Tuberculosis after initiation of antiretroviral therapy in low-income and high-income countries",2007,1,"rickenbach","martin",14203,"male","Switzerland","High",11,0,0,19,2.25,78,9.055
"22",22,17990236,"Tuberculosis after initiation of antiretroviral therapy in low-income and high-income countries",2007,1,"miro","jose m.",216199,"male","Spain","High",12,0,0,19,2.25,78,9.055
"23",23,17990236,"Tuberculosis after initiation of antiretroviral therapy in low-income and high-income countries",2007,1,"myer","landon",218201,"male","South Africa","Upper middle",13,0,0,19,2.25,78,9.055
"24",24,17990236,"Tuberculosis after initiation of antiretroviral therapy in low-income and high-income countries",2007,1,"mocroft","amanda",217200,"female","United Kingdom","High",14,0,0,19,2.25,78,9.055
"25",25,17990236,"Tuberculosis after initiation of antiretroviral therapy in low-income and high-income countries",2007,1,"nash","denis",109195,"male","United States","High",15,0,0,19,2.25,78,9.055
"26",26,17990236,"Tuberculosis after initiation of antiretroviral therapy in low-income and high-income countries",2007,1,"keiser","olivia",6750,"female","Switzerland","High",16,0,0,19,2.25,78,9.055
"27",27,17990236,"Tuberculosis after initiation of antiretroviral therapy in low-income and high-income countries",2007,1,"pascoe","margaret",3729,"female","Zimbabwe","Lower",17,0,0,19,2.25,78,9.055
"28",28,17990236,"Tuberculosis after initiation of antiretroviral therapy in low-income and high-income countries",2007,1,"van der borght","stefaan",221204,"male","Netherlands","High",18,0,0,19,2.25,78,9.055
"29",29,17990236,"Tuberculosis after initiation of antiretroviral therapy in low-income and high-income countries",2007,1,"schechter","mauro",2415,"male","Brazil","Upper middle",19,1,0,19,2.25,78,9.055
"30",30,17998240,"Cohort profile: The paediatric antiretroviral treatment programmes in lower-income countries (KIDS-ART-LINC) collaboration",2008,1,"arrive","elise",126206,"female","France","High",1,0,1,15,0.91,27,7.339
"31",31,17998240,"Cohort profile: The paediatric antiretroviral treatment programmes in lower-income countries (KIDS-ART-LINC) collaboration",2008,1,"kyabayinze","daniel j.",10211,"male","Uganda","Lower",2,0,0,15,0.91,27,7.339
"32",32,17998240,"Cohort profile: The paediatric antiretroviral treatment programmes in lower-income countries (KIDS-ART-LINC) collaboration",2008,1,"marquis","benoit",225212,"male","France","High",3,0,0,15,0.91,27,7.339
"33",33,17998240,"Cohort profile: The paediatric antiretroviral treatment programmes in lower-income countries (KIDS-ART-LINC) collaboration",2008,1,"tumwesigye","nathan",228215,"male","Uganda","Lower",4,0,0,15,0.91,27,7.339
"34",34,17998240,"Cohort profile: The paediatric antiretroviral treatment programmes in lower-income countries (KIDS-ART-LINC) collaboration",2008,1,"kieffer","mary-pat",224210,"female","Kenya","Lower",5,0,0,15,0.91,27,7.339
"35",35,17998240,"Cohort profile: The paediatric antiretroviral treatment programmes in lower-income countries (KIDS-ART-LINC) collaboration",2008,1,"azondekon","alain",30207,"male","Benin","Lower",6,0,0,15,0.91,27,7.339
"36",36,17998240,"Cohort profile: The paediatric antiretroviral treatment programmes in lower-income countries (KIDS-ART-LINC) collaboration",2008,1,"wemin","louise",229216,"female","Cote d'Ivoire","Lower",7,0,0,15,0.91,27,7.339
"37",37,17998240,"Cohort profile: The paediatric antiretroviral treatment programmes in lower-income countries (KIDS-ART-LINC) collaboration",2008,1,"fassinou","patricia",223209,"female","Cote d'Ivoire","Lower",8,0,0,15,0.91,27,7.339
"38",38,17998240,"Cohort profile: The paediatric antiretroviral treatment programmes in lower-income countries (KIDS-ART-LINC) collaboration",2008,1,"newell","marie-louise",227214,"female","United Kingdom","High",9,0,0,15,0.91,27,7.339
"39",39,17998240,"Cohort profile: The paediatric antiretroviral treatment programmes in lower-income countries (KIDS-ART-LINC) collaboration",2008,1,"leroy","valeriane",187166,"female","France","High",10,0,0,15,0.91,27,7.339
"40",40,17998240,"Cohort profile: The paediatric antiretroviral treatment programmes in lower-income countries (KIDS-ART-LINC) collaboration",2008,1,"abrams","elaine j.",222205,"female","United States","High",11,0,0,15,0.91,27,7.339
"41",41,17998240,"Cohort profile: The paediatric antiretroviral treatment programmes in lower-income countries (KIDS-ART-LINC) collaboration",2008,1,"cotton","mark",54208,"male","South Africa","Upper middle",12,0,0,15,0.91,27,7.339
"42",42,17998240,"Cohort profile: The paediatric antiretroviral treatment programmes in lower-income countries (KIDS-ART-LINC) collaboration",2008,1,"boulle","andrew",522,"male","South Africa","Upper middle",13,0,0,15,0.91,27,7.339
"43",43,17998240,"Cohort profile: The paediatric antiretroviral treatment programmes in lower-income countries (KIDS-ART-LINC) collaboration",2008,1,"mbori-ngacha","dorothy",226213,"female","Uganda","Lower",14,0,0,15,0.91,27,7.339
"44",44,17998240,"Cohort profile: The paediatric antiretroviral treatment programmes in lower-income countries (KIDS-ART-LINC) collaboration",2008,1,"dabis","francois",86,"male","France","High",15,1,0,15,0.91,27,7.339
"45",45,18240981,"Gender and the use of antiretroviral treatment in resource-constrained settings: Findings from a multicenter collaboration",2008,1,"braitstein","paula",3123,"female","United States","High",1,0,1,15,5.39,161,2.009
"46",46,18240981,"Gender and the use of antiretroviral treatment in resource-constrained settings: Findings from a multicenter collaboration",2008,1,"boulle","andrew",522,"male","South Africa","Upper middle",2,0,0,15,5.39,161,2.009
"47",47,18240981,"Gender and the use of antiretroviral treatment in resource-constrained settings: Findings from a multicenter collaboration",2008,1,"nash","denis",109195,"male","United States","High",3,0,0,15,5.39,161,2.009
"48",48,18240981,"Gender and the use of antiretroviral treatment in resource-constrained settings: Findings from a multicenter collaboration",2008,1,"brinkhof","martin w.g.",1424,"male","Switzerland","High",4,0,0,15,5.39,161,2.009
"49",49,18240981,"Gender and the use of antiretroviral treatment in resource-constrained settings: Findings from a multicenter collaboration",2008,1,"dabis","francois",86,"male","France","High",5,0,0,15,5.39,161,2.009
"50",50,18240981,"Gender and the use of antiretroviral treatment in resource-constrained settings: Findings from a multicenter collaboration",2008,1,"laurent","christian",230217,"male","France","High",6,0,0,15,5.39,161,2.009
"51",51,18240981,"Gender and the use of antiretroviral treatment in resource-constrained settings: Findings from a multicenter collaboration",2008,1,"schechter","mauro",2415,"male","Brazil","Upper middle",7,0,0,15,5.39,161,2.009
"52",52,18240981,"Gender and the use of antiretroviral treatment in resource-constrained settings: Findings from a multicenter collaboration",2008,1,"tuboi","suely h.",2719,"female","Brazil","Upper middle",8,0,0,15,5.39,161,2.009
"53",53,18240981,"Gender and the use of antiretroviral treatment in resource-constrained settings: Findings from a multicenter collaboration",2008,1,"sprinz","eduardo",2618,"male","Brazil","Upper middle",9,0,0,15,5.39,161,2.009
"54",54,18240981,"Gender and the use of antiretroviral treatment in resource-constrained settings: Findings from a multicenter collaboration",2008,1,"miotti","paolo",231218,"male","United States","High",10,0,0,15,5.39,161,2.009
"55",55,18240981,"Gender and the use of antiretroviral treatment in resource-constrained settings: Findings from a multicenter collaboration",2008,1,"hosseinipour","mina",35197,"female","Malawi","Lower",11,0,0,15,5.39,161,2.009
"56",56,18240981,"Gender and the use of antiretroviral treatment in resource-constrained settings: Findings from a multicenter collaboration",2008,1,"may","margaret",37198,"female","United Kingdom","High",12,0,0,15,5.39,161,2.009
"57",57,18240981,"Gender and the use of antiretroviral treatment in resource-constrained settings: Findings from a multicenter collaboration",2008,1,"egger","matthias",138,"male","United Kingdom","High",13,0,0,15,5.39,161,2.009
"58",58,18240981,"Gender and the use of antiretroviral treatment in resource-constrained settings: Findings from a multicenter collaboration",2008,1,"bangsberg","david r.",2921,"male","United States","High",14,0,0,15,5.39,161,2.009
"59",59,18240981,"Gender and the use of antiretroviral treatment in resource-constrained settings: Findings from a multicenter collaboration",2008,1,"low","nicola",1911,"female","Switzerland","High",15,1,0,15,5.39,161,2.009
"60",60,18373510,"Antiretroviral therapy in resource-limited settings 1996 to 2006: Patient characteristics, treatment regimens and monitoring in sub-Saharan Africa, Asia and Latin America",2008,1,"keiser","olivia",6750,"female","Switzerland","High",1,0,1,16,4.72,152,2.423
"61",61,18373510,"Antiretroviral therapy in resource-limited settings 1996 to 2006: Patient characteristics, treatment regimens and monitoring in sub-Saharan Africa, Asia and Latin America",2008,1,"anastos","kathryn",46219,"female","United States","High",2,0,0,16,4.72,152,2.423
"62",62,18373510,"Antiretroviral therapy in resource-limited settings 1996 to 2006: Patient characteristics, treatment regimens and monitoring in sub-Saharan Africa, Asia and Latin America",2008,1,"schechter","mauro",2415,"male","Brazil","Upper middle",3,0,0,16,4.72,152,2.423
"63",63,18373510,"Antiretroviral therapy in resource-limited settings 1996 to 2006: Patient characteristics, treatment regimens and monitoring in sub-Saharan Africa, Asia and Latin America",2008,1,"balestre","eric",232220,"male","France","High",4,0,0,16,4.72,152,2.423
"64",64,18373510,"Antiretroviral therapy in resource-limited settings 1996 to 2006: Patient characteristics, treatment regimens and monitoring in sub-Saharan Africa, Asia and Latin America",2008,1,"myer","landon",218201,"male","South Africa","Upper middle",5,0,0,16,4.72,152,2.423
"65",65,18373510,"Antiretroviral therapy in resource-limited settings 1996 to 2006: Patient characteristics, treatment regimens and monitoring in sub-Saharan Africa, Asia and Latin America",2008,1,"boulle","andrew",522,"male","United Kingdom","High",6,0,0,16,4.72,152,2.423
"66",66,18373510,"Antiretroviral therapy in resource-limited settings 1996 to 2006: Patient characteristics, treatment regimens and monitoring in sub-Saharan Africa, Asia and Latin America",2008,1,"bangsberg","david",2921,"male","Uganda","Lower",7,0,0,16,4.72,152,2.423
"67",67,18373510,"Antiretroviral therapy in resource-limited settings 1996 to 2006: Patient characteristics, treatment regimens and monitoring in sub-Saharan Africa, Asia and Latin America",2008,1,"toure","hapsatou",233221,"female","France","High",8,0,0,16,4.72,152,2.423
"68",68,18373510,"Antiretroviral therapy in resource-limited settings 1996 to 2006: Patient characteristics, treatment regimens and monitoring in sub-Saharan Africa, Asia and Latin America",2008,1,"braitstein","paula",3123,"female","Kenya","Lower",9,0,0,16,4.72,152,2.423
"69",69,18373510,"Antiretroviral therapy in resource-limited settings 1996 to 2006: Patient characteristics, treatment regimens and monitoring in sub-Saharan Africa, Asia and Latin America",2008,1,"sprinz","eduardo",2618,"male","Brazil","Upper middle",10,0,0,16,4.72,152,2.423
"70",70,18373510,"Antiretroviral therapy in resource-limited settings 1996 to 2006: Patient characteristics, treatment regimens and monitoring in sub-Saharan Africa, Asia and Latin America",2008,1,"nash","denis",109195,"male","United States","High",11,0,0,16,4.72,152,2.423
"71",71,18373510,"Antiretroviral therapy in resource-limited settings 1996 to 2006: Patient characteristics, treatment regimens and monitoring in sub-Saharan Africa, Asia and Latin America",2008,1,"hosseinipour","mina",35197,"female","Malawi","Lower",12,0,0,16,4.72,152,2.423
"72",72,18373510,"Antiretroviral therapy in resource-limited settings 1996 to 2006: Patient characteristics, treatment regimens and monitoring in sub-Saharan Africa, Asia and Latin America",2008,1,"dabis","francois",86,"male","France","High",13,0,0,16,4.72,152,2.423
"73",73,18373510,"Antiretroviral therapy in resource-limited settings 1996 to 2006: Patient characteristics, treatment regimens and monitoring in sub-Saharan Africa, Asia and Latin America",2008,1,"may","margaret",37198,"female","United Kingdom","High",14,0,0,16,4.72,152,2.423
"74",74,18373510,"Antiretroviral therapy in resource-limited settings 1996 to 2006: Patient characteristics, treatment regimens and monitoring in sub-Saharan Africa, Asia and Latin America",2008,1,"brinkhof","martin w.g.",1424,"male","Switzerland","High",15,0,0,16,4.72,152,2.423
"75",75,18373510,"Antiretroviral therapy in resource-limited settings 1996 to 2006: Patient characteristics, treatment regimens and monitoring in sub-Saharan Africa, Asia and Latin America",2008,1,"egger","matthias",138,"male","Switzerland","High",16,1,0,16,4.72,152,2.423
"76",76,18468529,"Population effect of scaling up ART in resource-poor settings",2008,9,"egger","matthias",138,"male","South Africa","Upper middle",1,0,1,2,0.28,11,59.102
"77",77,18468529,"Population effect of scaling up ART in resource-poor settings",2008,9,"boulle","andrew",522,"male","South Africa","Upper middle",2,1,0,2,0.28,11,59.102
"78",78,18613745,"Public-health and individual approaches to antiretroviral therapy: Township South Africa and Switzerland compared",2008,1,"keiser","olivia",6750,"female","Switzerland","High",1,0,1,9,2.69,99,11.048
"79",79,18613745,"Public-health and individual approaches to antiretroviral therapy: Township South Africa and Switzerland compared",2008,1,"orrell","catherine",57224,"female","South Africa","Upper middle",2,0,0,9,2.69,99,11.048
"80",80,18613745,"Public-health and individual approaches to antiretroviral therapy: Township South Africa and Switzerland compared",2008,1,"egger","matthias",138,"male","Switzerland","High",3,0,0,9,2.69,99,11.048
"81",81,18613745,"Public-health and individual approaches to antiretroviral therapy: Township South Africa and Switzerland compared",2008,1,"wood","robin",4532,"male","South Africa","Upper middle",4,0,0,9,2.69,99,11.048
"82",82,18613745,"Public-health and individual approaches to antiretroviral therapy: Township South Africa and Switzerland compared",2008,1,"brinkhof","martin w. g.",1424,"male","Switzerland","High",5,0,0,9,2.69,99,11.048
"83",83,18613745,"Public-health and individual approaches to antiretroviral therapy: Township South Africa and Switzerland compared",2008,1,"furrer","hansjakob",234222,"male","Switzerland","High",6,0,0,9,2.69,99,11.048
"84",84,18613745,"Public-health and individual approaches to antiretroviral therapy: Township South Africa and Switzerland compared",2008,1,"van cutsem","gilles",237225,"male","South Africa","Upper middle",7,0,0,9,2.69,99,11.048
"85",85,18613745,"Public-health and individual approaches to antiretroviral therapy: Township South Africa and Switzerland compared",2008,1,"ledergerber","bruno",235223,"male","Switzerland","High",8,0,0,9,2.69,99,11.048
"86",86,18613745,"Public-health and individual approaches to antiretroviral therapy: Township South Africa and Switzerland compared",2008,1,"boulle","andrew",522,"male","South Africa","Upper middle",9,1,0,9,2.69,99,11.048
"87",87,18670668,"Early loss of HIV-infected patients on potent antiretroviral therapy programmes in lower-income countries",2008,1,"brinkhof","martin w.g.",1424,"male","Switzerland","High",1,0,1,13,8.59,257,6.818
"88",88,18670668,"Early loss of HIV-infected patients on potent antiretroviral therapy programmes in lower-income countries",2008,1,"dabis","francois",86,"male","France","High",2,0,0,13,8.59,257,6.818
"89",89,18670668,"Early loss of HIV-infected patients on potent antiretroviral therapy programmes in lower-income countries",2008,1,"myer","landon",218201,"male","South Africa","Upper middle",3,0,0,13,8.59,257,6.818
"90",90,18670668,"Early loss of HIV-infected patients on potent antiretroviral therapy programmes in lower-income countries",2008,1,"bangsberg","david r.",2921,"male","United States","High",4,0,0,13,8.59,257,6.818
"91",91,18670668,"Early loss of HIV-infected patients on potent antiretroviral therapy programmes in lower-income countries",2008,1,"boulle","andrew",522,"male","South Africa","Upper middle",5,0,0,13,8.59,257,6.818
"92",92,18670668,"Early loss of HIV-infected patients on potent antiretroviral therapy programmes in lower-income countries",2008,1,"nash","denis",109195,"male","United States","High",6,0,0,13,8.59,257,6.818
"93",93,18670668,"Early loss of HIV-infected patients on potent antiretroviral therapy programmes in lower-income countries",2008,1,"schechter","mauro",2415,"male","Brazil","Upper middle",7,0,0,13,8.59,257,6.818
"94",94,18670668,"Early loss of HIV-infected patients on potent antiretroviral therapy programmes in lower-income countries",2008,1,"laurent","christian",230217,"male","France","High",8,0,0,13,8.59,257,6.818
"95",95,18670668,"Early loss of HIV-infected patients on potent antiretroviral therapy programmes in lower-income countries",2008,1,"keiser","olivia",6750,"female","Switzerland","High",9,0,0,13,8.59,257,6.818
"96",96,18670668,"Early loss of HIV-infected patients on potent antiretroviral therapy programmes in lower-income countries",2008,1,"may","margaret",37198,"female","United Kingdom","High",10,0,0,13,8.59,257,6.818
"97",97,18670668,"Early loss of HIV-infected patients on potent antiretroviral therapy programmes in lower-income countries",2008,1,"sprinz","eduardo",2618,"male","Brazil","Upper middle",11,0,0,13,8.59,257,6.818
"98",98,18670668,"Early loss of HIV-infected patients on potent antiretroviral therapy programmes in lower-income countries",2008,1,"egger","matthias",138,"male","Switzerland","High",12,0,0,13,8.59,257,6.818
"99",99,18670668,"Early loss of HIV-infected patients on potent antiretroviral therapy programmes in lower-income countries",2008,1,"anglaret","xavier",238226,"male","France","High",13,1,0,13,8.59,257,6.818
"100",100,18771599,"Adherence to antiretroviral therapy in young children in Cape Town, South Africa, measured by medication return and caregiver self-report: A prospective cohort study",2008,0,"davies","mary-ann",5236,"female","South Africa","Upper middle",1,0,1,5,2.25,65,1.983
"101",101,18771599,"Adherence to antiretroviral therapy in young children in Cape Town, South Africa, measured by medication return and caregiver self-report: A prospective cohort study",2008,0,"boulle","andrew",522,"male","South Africa","Upper middle",2,0,0,5,2.25,65,1.983
"102",102,18771599,"Adherence to antiretroviral therapy in young children in Cape Town, South Africa, measured by medication return and caregiver self-report: A prospective cohort study",2008,0,"fakir","tanzeem",11,"male","South Africa","Upper middle",3,0,0,5,2.25,65,1.983
"103",103,18771599,"Adherence to antiretroviral therapy in young children in Cape Town, South Africa, measured by medication return and caregiver self-report: A prospective cohort study",2008,0,"nuttall","james",20228,"male","South Africa","Upper middle",4,0,0,5,2.25,65,1.983
"104",104,18771599,"Adherence to antiretroviral therapy in young children in Cape Town, South Africa, measured by medication return and caregiver self-report: A prospective cohort study",2008,0,"eley","brian",157227,"male","South Africa","Upper middle",5,1,0,5,2.25,65,1.983
"105",105,18797643,"Antiretroviral therapy and early mortality in South Africa",2008,0,"boulle","andrew",522,"male","South Africa","Upper middle",1,0,1,11,3.53,110,6.818
"106",106,18797643,"Antiretroviral therapy and early mortality in South Africa",2008,0,"bock","peter",47230,"male","South Africa","Upper middle",2,0,0,11,3.53,110,6.818
"107",107,18797643,"Antiretroviral therapy and early mortality in South Africa",2008,0,"osler","meg",248236,"female","South Africa","Upper middle",3,0,0,11,3.53,110,6.818
"108",108,18797643,"Antiretroviral therapy and early mortality in South Africa",2008,0,"cohen","karen",244233,"female","South Africa","Upper middle",4,0,0,11,3.53,110,6.818
"109",109,18797643,"Antiretroviral therapy and early mortality in South Africa",2008,0,"channing","liezl",241231,"female","Switzerland","High",5,0,0,11,3.53,110,6.818
"110",110,18797643,"Antiretroviral therapy and early mortality in South Africa",2008,0,"hilderbrand","katherine",57234,"female","South Africa","Upper middle",6,0,0,11,3.53,110,6.818
"111",111,18797643,"Antiretroviral therapy and early mortality in South Africa",2008,0,"mothibi","eula",247235,"female","South Africa","Upper middle",7,0,0,11,3.53,110,6.818
"112",112,18797643,"Antiretroviral therapy and early mortality in South Africa",2008,0,"zweigenthal","virginia",249237,"female","South Africa","Upper middle",8,0,0,11,3.53,110,6.818
"113",113,18797643,"Antiretroviral therapy and early mortality in South Africa",2008,0,"slingers","neviline",22,"female","United Kingdom","High",9,0,0,11,3.53,110,6.818
"114",114,18797643,"Antiretroviral therapy and early mortality in South Africa",2008,0,"cloete","keith",242232,"male","South Africa","Upper middle",10,0,0,11,3.53,110,6.818
"115",115,18797643,"Antiretroviral therapy and early mortality in South Africa",2008,0,"abdullah","fareed",239229,"male","United Kingdom","High",11,1,0,11,3.53,110,6.818
"116",116,18981768,"Long-term immunologic response to antiretroviral therapy in low-income countries: A collaborative analysis of prospective studies",2008,1,"nash","denis",109195,"male","United States","High",1,0,1,11,4.38,145,4.499
"117",117,18981768,"Long-term immunologic response to antiretroviral therapy in low-income countries: A collaborative analysis of prospective studies",2008,1,"katyal","monica",85239,"female","United States","High",2,0,0,11,4.38,145,4.499
"118",118,18981768,"Long-term immunologic response to antiretroviral therapy in low-income countries: A collaborative analysis of prospective studies",2008,1,"brinkhof","martin w. g.",1424,"male","Switzerland","High",3,0,0,11,4.38,145,4.499
"119",119,18981768,"Long-term immunologic response to antiretroviral therapy in low-income countries: A collaborative analysis of prospective studies",2008,1,"keiser","olivia",6750,"female","Switzerland","High",4,0,0,11,4.38,145,4.499
"120",120,18981768,"Long-term immunologic response to antiretroviral therapy in low-income countries: A collaborative analysis of prospective studies",2008,1,"may","margaret",37198,"female","United Kingdom","High",5,0,0,11,4.38,145,4.499
"121",121,18981768,"Long-term immunologic response to antiretroviral therapy in low-income countries: A collaborative analysis of prospective studies",2008,1,"hughes","rachael",250238,"female","United Kingdom","High",6,0,0,11,4.38,145,4.499
"122",122,18981768,"Long-term immunologic response to antiretroviral therapy in low-income countries: A collaborative analysis of prospective studies",2008,1,"dabis","francois",86,"male","France","High",7,0,0,11,4.38,145,4.499
"123",123,18981768,"Long-term immunologic response to antiretroviral therapy in low-income countries: A collaborative analysis of prospective studies",2008,1,"wood","robin",4532,"male","South Africa","Upper middle",8,0,0,11,4.38,145,4.499
"124",124,18981768,"Long-term immunologic response to antiretroviral therapy in low-income countries: A collaborative analysis of prospective studies",2008,1,"sprinz","eduardo",2618,"male","Brazil","Upper middle",9,0,0,11,4.38,145,4.499
"125",125,18981768,"Long-term immunologic response to antiretroviral therapy in low-income countries: A collaborative analysis of prospective studies",2008,1,"schechter","mauro",2415,"male","Brazil","Upper middle",10,0,0,11,4.38,145,4.499
"126",126,18981768,"Long-term immunologic response to antiretroviral therapy in low-income countries: A collaborative analysis of prospective studies",2008,1,"egger","matthias",138,"male","Switzerland","High",11,1,0,11,4.38,145,4.499
"127",127,19053892,"Atazanavir: Its role in HIV treatment",2008,9,"wood","robin",4532,"male","South Africa","Upper middle",1,1,1,1,0.43,14,3.09
"128",128,19142294,"Electronic medical record systems, data quality and loss to follow-up: Survey of antiretroviral therapy programmes in resource-limited settings",2008,1,"forster","mathieu",3225,"male","Switzerland","High",1,0,1,11,3.87,115,6.818
"129",129,19142294,"Electronic medical record systems, data quality and loss to follow-up: Survey of antiretroviral therapy programmes in resource-limited settings",2008,1,"bailey","christopher",16240,"male","Switzerland","High",2,0,0,11,3.87,115,6.818
"130",130,19142294,"Electronic medical record systems, data quality and loss to follow-up: Survey of antiretroviral therapy programmes in resource-limited settings",2008,1,"brinkhof","martin w.g.",1424,"male","Switzerland","High",3,0,0,11,3.87,115,6.818
"131",131,19142294,"Electronic medical record systems, data quality and loss to follow-up: Survey of antiretroviral therapy programmes in resource-limited settings",2008,1,"graber","claire",149,"female","Switzerland","High",4,0,0,11,3.87,115,6.818
"132",132,19142294,"Electronic medical record systems, data quality and loss to follow-up: Survey of antiretroviral therapy programmes in resource-limited settings",2008,1,"boulle","andrew",522,"male","South Africa","Upper middle",5,0,0,11,3.87,115,6.818
"133",133,19142294,"Electronic medical record systems, data quality and loss to follow-up: Survey of antiretroviral therapy programmes in resource-limited settings",2008,1,"spohr","mark",54241,"male","Switzerland","High",6,0,0,11,3.87,115,6.818
"134",134,19142294,"Electronic medical record systems, data quality and loss to follow-up: Survey of antiretroviral therapy programmes in resource-limited settings",2008,1,"balestre","eric",232220,"male","France","High",7,0,0,11,3.87,115,6.818
"135",135,19142294,"Electronic medical record systems, data quality and loss to follow-up: Survey of antiretroviral therapy programmes in resource-limited settings",2008,1,"may","margaret",37198,"female","United Kingdom","High",8,0,0,11,3.87,115,6.818
"136",136,19142294,"Electronic medical record systems, data quality and loss to follow-up: Survey of antiretroviral therapy programmes in resource-limited settings",2008,1,"keiser","olivia",6750,"female","Switzerland","High",9,0,0,11,3.87,115,6.818
"137",137,19142294,"Electronic medical record systems, data quality and loss to follow-up: Survey of antiretroviral therapy programmes in resource-limited settings",2008,1,"jahn","andreas",54,"male","Malawi","Lower",10,0,0,11,3.87,115,6.818
